Team_Alias,Player_Name,Minutes,PPG,APG,DefRBD,OffRBD,SPG,BPG,Paint_PPG,att_3PT_pg,made_3PT_pg,ATO,Position
MIN,Justin Jackson,1,0,0,0,0,0,0,0,0,0,0,F
MIN,Kyle Anderson,1782,6.4,4.2,2.7,0.76,0.9,0.59,4.28,0.61,0.14,3.64,F
MIN,T.J. Warren,125,3.7,0.8,1.55,0.45,0.36,0.09,1.82,1.18,0.18,2.25,F
MIN,Rudy Gobert,2593,14,1.3,9.17,3.75,0.68,2.13,10.61,0.04,0,0.86,C
MIN,Mike Conley,2193,11.4,5.9,2.38,0.49,1.16,0.22,2.63,5.33,2.36,4.4,G
MIN,Monte Morris,408,5.1,2.3,1.48,0.19,0.67,0.3,0.89,2.19,0.93,12.2,G
MIN,Troy Brown Jr.,410,4.2,0.9,1.57,0.38,0.22,0.05,0.86,2.27,0.84,1.94,F
MIN,Shake Milton,491,4.7,1.3,1.16,0.18,0.42,0.13,2.32,1.39,0.37,1.79,G
MIN,Leonard Miller,52,1.7,0.5,0.88,0.29,0.12,0.06,0.94,0.29,0.12,8,F
MIN,Daishen Nix,50,1.8,0.4,0.13,0.07,0.33,0,0.4,1.13,0.4,1.2,G
MIN,Naz Reid,1964,13.5,1.3,4.32,0.9,0.78,0.9,5.68,5.04,2.09,0.95,C
MIN,Luka Garza,122,4,0.2,0.48,0.76,0.16,0.04,2.08,1.28,0.36,0.67,F
MIN,Jaylen Clark,0,0,0,0,0,0,0,0,0,0,0,G
MIN,Jaden McDaniels,2105,10.5,1.4,2.33,0.78,0.88,0.58,5.36,3.54,1.19,1.16,F
MIN,Karl-Anthony Towns,2026,21.8,3,6.79,1.52,0.69,0.66,9.9,5.27,2.19,1.07,C-F
MIN,Jordan McLaughlin,626,3.5,2,0.96,0.32,0.63,0.13,0.89,1.59,0.75,5.79,G
MIN,Josh Minott,91,1.6,0.3,0.41,0.13,0.16,0.16,0.81,0.31,0.13,4,F
MIN,Anthony Edwards,2770,25.9,5.1,4.78,0.66,1.28,0.53,10.71,6.73,2.41,1.68,G
MIN,Nickeil Alexander-Walker,1921,8,2.5,1.61,0.43,0.78,0.51,2.22,4.09,1.6,2.68,G
MIN,Wendell Moore Jr.,75,0.7,0.2,0.48,0,0.2,0.04,0.64,0.24,0,1.5,G
CLE,Ty Jerome,15,2,1.5,0,0.5,0,0,1,0.5,0,3,G-F
CLE,Emoni Bates,133,2.7,0.7,0.87,0.07,0.07,0.13,0.27,2.2,0.67,1.25,F
CLE,Tristan Thompson,549,3.3,1,2.06,1.49,0.24,0.29,2.98,0.02,0,1.76,F
CLE,Zhaire Smith,0,0,0,0,0,0,0,0,0,0,0,G
CLE,Damian Jones,270,2.7,0.4,1.08,0.51,0.18,0.33,1.9,0.36,0.08,1.15,C
CLE,Marcus Morris Sr.,180,5.8,0.8,1.67,0.42,0.17,0.17,1,2.42,1,0.91,F
CLE,Sharife Cooper,0,0,0,0,0,0,0,0,0,0,0,G
CLE,Sam Merrill,1069,8,1.8,1.61,0.36,0.31,0.07,0.49,5.8,2.34,5.68,G
CLE,Craig Porter Jr.,649,5.6,2.3,1.73,0.41,0.41,0.29,3.1,0.67,0.24,2.62,G
CLE,Pete Nance,27,0.4,0,0.38,0,0.13,0,0,0.13,0.13,0,F
CLE,Ricky Rubio,0,0,0,0,0,0,0,0,0,0,0,G
