"Team_Alias","Player_Name","Minutes","PPG","APG","DefRBD","OffRBD","SPG","BPG","Paint_PPG","att_3PT_pg","made_3PT_pg","ATO","Position","scoring","shooting","passing","defense","rebounding"
"MIN","Kyle Anderson",1782,6.4,4.2,2.7,0.76,0.9,0.59,4.28,0.61,0.14,3.64,"F",36,8,89,69,39
"MIN","Rudy Gobert",2593,14,1.3,9.17,3.75,0.68,2.13,10.61,0.04,0,0.86,"C",82,32,6,95,100
"MIN","Mike Conley",2193,11.4,5.9,2.38,0.49,1.16,0.22,2.63,5.33,2.36,4.4,"G",44,71,98,76,25
"MIN","Naz Reid",1964,13.5,1.3,4.32,0.9,0.78,0.9,5.68,5.04,2.09,0.95,"C",63,72,8,73,71
"MIN","Jaden McDaniels",2105,10.5,1.4,2.33,0.78,0.88,0.58,5.36,3.54,1.19,1.16,"F",53,49,13,67,32
"MIN","Karl-Anthony Towns",2026,21.8,3,6.79,1.52,0.69,0.66,9.9,5.27,2.19,1.07,"C-F",91,89,38,51,91
"MIN","Jordan McLaughlin",626,3.5,2,0.96,0.32,0.63,0.13,0.89,1.59,0.75,5.79,"G",1,11,93,22,3
"MIN","Anthony Edwards",2770,25.9,5.1,4.78,0.66,1.28,0.53,10.71,6.73,2.41,1.68,"G",97,95,73,87,69
"MIN","Nickeil Alexander-Walker",1921,8,2.5,1.61,0.43,0.78,0.51,2.22,4.09,1.6,2.68,"G",28,51,64,53,11
"CLE","Tristan Thompson",549,3.3,1,2.06,1.49,0.24,0.29,2.98,0.02,0,1.76,"F",12,0,22,5,56
"CLE","Sam Merrill",1069,8,1.8,1.61,0.36,0.31,0.07,0.49,5.8,2.34,5.68,"G",14,63,92,3,10
"CLE","Craig Porter Jr.",649,5.6,2.3,1.73,0.41,0.41,0.29,3.1,0.67,0.24,2.62,"G",21,8,60,13,13
"CLE","Jarrett Allen",2442,16.5,2.7,7.38,3.16,0.69,1.05,12.81,0.08,0,1.74,"C",89,43,48,72,97
"CLE","Donovan Mitchell",1942,26.6,6.1,4.25,0.84,1.84,0.55,8.76,8.98,3.31,2.16,"G",94,99,87,98,68
"CLE","Darius Garland",1901,18,6.5,2.14,0.53,1.3,0.12,6.7,6.25,2.32,2.12,"G",77,85,89,80,24
